Edge,Weight,Node_u_label,Node_v_label,Source_id,Target_id
1052395324327561835603722649024062637786820972558-703354571316526670705826685636552632944029910339,1150.0,Number > 21.0,Class DoS/DDoS,1052395324327561835603722649024062637786820972558,703354571316526670705826685636552632944029910339
737353391047160921689703947234990300017800519006-237495190485034945823156883082714997515285584755,1151.0,AVG > 72.55,DHCP <= 0.05,737353391047160921689703947234990300017800519006,237495190485034945823156883082714997515285584755
237495190485034945823156883082714997515285584755-466266383504612808955807328124660275084734411073,1151.0,DHCP <= 0.05,psh_flag_number > 0.05,237495190485034945823156883082714997515285584755,466266383504612808955807328124660275084734411073
466266383504612808955807328124660275084734411073-18451952157075982996268275914942224630362834167,1151.0,psh_flag_number > 0.05,Rate <= 335.24,466266383504612808955807328124660275084734411073,18451952157075982996268275914942224630362834167
18451952157075982996268275914942224630362834167-1220799681354223785193438987264436551740754232467,1151.0,Rate <= 335.24,Time_To_Live <= 139.05,18451952157075982996268275914942224630362834167,1220799681354223785193438987264436551740754232467
1220799681354223785193438987264436551740754232467-1459038864937564118531243094993440061825756632364,1151.0,Time_To_Live <= 139.05,HTTPS > 0.45,1220799681354223785193438987264436551740754232467,1459038864937564118531243094993440061825756632364
1459038864937564118531243094993440061825756632364-883213370144670373722979335944220487736753131083,1151.0,HTTPS > 0.45,Max > 153.5,1459038864937564118531243094993440061825756632364,883213370144670373722979335944220487736753131083
1459038864937564118531243094993440061825756632364-761363108908658183045851163077875448346092207002,1203.0,HTTPS > 0.45,Tot sum <= 30949.0,1459038864937564118531243094993440061825756632364,761363108908658183045851163077875448346092207002
883213370144670373722979335944220487736753131083-450732185867019503557253938593748687470332854114,1151.0,Max > 153.5,fin_flag_number <= 0.05,883213370144670373722979335944220487736753131083,450732185867019503557253938593748687470332854114
1367466275793494495487688982288844671879356068319-444903398511190255204347034984188376704789605296,1151.0,Header_Length > 11.8,syn_count <= 0.5,1367466275793494495487688982288844671879356068319,444903398511190255204347034984188376704789605296
1367466275793494495487688982288844671879356068319-1065678358868830613118634470078609803156730625463,1257.0,Header_Length > 11.8,Min > 59.0,1367466275793494495487688982288844671879356068319,1065678358868830613118634470078609803156730625463
1037584906676310569385606190963094293221882392926-1211179840315814102050366698863412564375406693168,1151.0,Header_Length <= 29.4,ack_count <= 10.5,1037584906676310569385606190963094293221882392926,1211179840315814102050366698863412564375406693168
913934229985918927260874460680951411120138465741-609793686190684687059712071953436220871075398054,1151.0,Max <= 1493.5,Max <= 1513.0,913934229985918927260874460680951411120138465741,609793686190684687059712071953436220871075398054
913934229985918927260874460680951411120138465741-326422692296825843811100508251790776115352659574,2474.0,Max <= 1493.5,ack_count > 10.5,913934229985918927260874460680951411120138465741,326422692296825843811100508251790776115352659574
609793686190684687059712071953436220871075398054-776648585396230254201433345253227033476602560220,1151.0,Max <= 1513.0,Tot size > 62.95,609793686190684687059712071953436220871075398054,776648585396230254201433345253227033476602560220
609793686190684687059712071953436220871075398054-845625221445319325732150460278565301810546003116,1492.0,Max <= 1513.0,Max > 1493.5,609793686190684687059712071953436220871075398054,845625221445319325732150460278565301810546003116
609793686190684687059712071953436220871075398054-913934229985918927260874460680951411120138465741,2474.0,Max <= 1513.0,Max <= 1493.5,609793686190684687059712071953436220871075398054,913934229985918927260874460680951411120138465741
609793686190684687059712071953436220871075398054-22296661685532604903372749796856100047246562640,5270.0,Max <= 1513.0,Tot sum > 15003.0,609793686190684687059712071953436220871075398054,22296661685532604903372749796856100047246562640
776648585396230254201433345253227033476602560220-313966293707852304271238602452879935845810138389,1151.0,Tot size > 62.95,Class Benign,776648585396230254201433345253227033476602560220,313966293707852304271238602452879935845810138389
1099727549522855783864797575311522371614377295046-1271685220936427656436548112584081639555402886398,1203.0,HTTPS > 0.1,Variance <= 562976.78,1099727549522855783864797575311522371614377295046,1271685220936427656436548112584081639555402886398
1099727549522855783864797575311522371614377295046-479558918440328824313980257606716486705651346406,1265.0,HTTPS > 0.1,Variance > 198750.05,1099727549522855783864797575311522371614377295046,479558918440328824313980257606716486705651346406
1099727549522855783864797575311522371614377295046-286685310546126887007670494299097221294244185637,1542.0,HTTPS > 0.1,Std > 0.63,1099727549522855783864797575311522371614377295046,286685310546126887007670494299097221294244185637
1099727549522855783864797575311522371614377295046-1125172360728859089301234411074419920961484457594,1789.0,HTTPS > 0.1,Time_To_Live > 63.35,1099727549522855783864797575311522371614377295046,1125172360728859089301234411074419920961484457594
1099727549522855783864797575311522371614377295046-837148820430552964350024515657176049236210822581,1817.0,HTTPS > 0.1,AVG > 216.4,1099727549522855783864797575311522371614377295046,837148820430552964350024515657176049236210822581
1099727549522855783864797575311522371614377295046-232471171496965278670239735263264724812388216587,2363.0,HTTPS > 0.1,Tot size <= 92.6,1099727549522855783864797575311522371614377295046,232471171496965278670239735263264724812388216587
1271685220936427656436548112584081639555402886398-1459038864937564118531243094993440061825756632364,1203.0,Variance <= 562976.78,HTTPS > 0.45,1271685220936427656436548112584081639555402886398,1459038864937564118531243094993440061825756632364
761363108908658183045851163077875448346092207002-836578261654120794657391343844453847547234002369,1203.0,Tot sum <= 30949.0,Time_To_Live > 66.0,761363108908658183045851163077875448346092207002,836578261654120794657391343844453847547234002369
836578261654120794657391343844453847547234002369-1313313205130014714347127647863310026252814877850,1203.0,Time_To_Live > 66.0,Time_To_Live <= 232.25,836578261654120794657391343844453847547234002369,1313313205130014714347127647863310026252814877850
1313313205130014714347127647863310026252814877850-1342412290037990275801029368844730198597963714935,1203.0,Time_To_Live <= 232.25,ICMP <= 0.05,1313313205130014714347127647863310026252814877850,1342412290037990275801029368844730198597963714935
1342412290037990275801029368844730198597963714935-876121379949928295909454210951193330045979237216,1203.0,ICMP <= 0.05,Std > 448.37,1342412290037990275801029368844730198597963714935,876121379949928295909454210951193330045979237216
1342412290037990275801029368844730198597963714935-444903398511190255204347034984188376704789605296,1835.0,ICMP <= 0.05,syn_count <= 0.5,1342412290037990275801029368844730198597963714935,444903398511190255204347034984188376704789605296
1342412290037990275801029368844730198597963714935-880098917183594222002260548128829020659899940427,2363.0,ICMP <= 0.05,IAT <= 0.04,1342412290037990275801029368844730198597963714935,880098917183594222002260548128829020659899940427
1342412290037990275801029368844730198597963714935-674196853837619115087533412010134527129516958514,3082.0,ICMP <= 0.05,IAT > 0.0,1342412290037990275801029368844730198597963714935,674196853837619115087533412010134527129516958514
876121379949928295909454210951193330045979237216-953913665845140399695198589392976727662944162410,1203.0,Std > 448.37,Max > 1507.0,876121379949928295909454210951193330045979237216,953913665845140399695198589392976727662944162410
854737470679532947107657314026081295833069183844-371591821625166726613853158278384607871803201524,3566.0,UDP <= 0.14,fin_count <= 0.5,854737470679532947107657314026081295833069183844,371591821625166726613853158278384607871803201524
450619439970260140363444461884469391454835761557-313966293707852304271238602452879935845810138389,1203.0,Variance > 92557.64,Class Benign,450619439970260140363444461884469391454835761557,313966293707852304271238602452879935845810138389
228352784087401773064080368050365694341687966897-1399401813432697514972361185561401703116868648764,1210.0,Std <= 755.85,Number <= 22.0,228352784087401773064080368050365694341687966897,1399401813432697514972361185561401703116868648764
228352784087401773064080368050365694341687966897-319488763998053370058054861272361034649617834884,3196.0,Std <= 755.85,syn_flag_number <= 0.1,228352784087401773064080368050365694341687966897,319488763998053370058054861272361034649617834884
228352784087401773064080368050365694341687966897-1417394437485653248370221845596117295625354908880,4263.0,Std <= 755.85,Number > 22.0,228352784087401773064080368050365694341687966897,1417394437485653248370221845596117295625354908880
1399401813432697514972361185561401703116868648764-1270562219278966630109242817886207307040672253255,1210.0,Number <= 22.0,Min <= 59.0,1399401813432697514972361185561401703116868648764,1270562219278966630109242817886207307040672253255
1399401813432697514972361185561401703116868648764-228352784087401773064080368050365694341687966897,3196.0,Number <= 22.0,Std <= 755.85,1399401813432697514972361185561401703116868648764,228352784087401773064080368050365694341687966897
394083753513914301384721806483963457225439561087-1144197040251997211190350465913788187543239067957,1220.0,Header_Length > 20.38,syn_count > 0.5,394083753513914301384721806483963457225439561087,1144197040251997211190350465913788187543239067957
1144197040251997211190350465913788187543239067957-467241809142469580954101248130479217213781612207,1220.0,syn_count > 0.5,syn_count > 10.5,1144197040251997211190350465913788187543239067957,467241809142469580954101248130479217213781612207
1144197040251997211190350465913788187543239067957-76523785222702968606005854402947631102372927327,1283.0,syn_count > 0.5,syn_count > 1.5,1144197040251997211190350465913788187543239067957,76523785222702968606005854402947631102372927327
1144197040251997211190350465913788187543239067957-703354571316526670705826685636552632944029910339,4474.0,syn_count > 0.5,Class DoS/DDoS,1144197040251997211190350465913788187543239067957,703354571316526670705826685636552632944029910339
1144197040251997211190350465913788187543239067957-319488763998053370058054861272361034649617834884,5095.0,syn_count > 0.5,syn_flag_number <= 0.1,1144197040251997211190350465913788187543239067957,319488763998053370058054861272361034649617834884
1144197040251997211190350465913788187543239067957-875227399290715743426157651645940707655825087528,6129.0,syn_count > 0.5,Tot sum > 4822.0,1144197040251997211190350465913788187543239067957,875227399290715743426157651645940707655825087528
1144197040251997211190350465913788187543239067957-1181363647866021518916616016321270404391676421869,7188.0,syn_count > 0.5,Number > 27.5,1144197040251997211190350465913788187543239067957,1181363647866021518916616016321270404391676421869
467241809142469580954101248130479217213781612207-703354571316526670705826685636552632944029910339,1220.0,syn_count > 10.5,Class DoS/DDoS,467241809142469580954101248130479217213781612207,703354571316526670705826685636552632944029910339
1331163826998701005988327749618535286588076394133-398927191248703264102191878649203257886026496233,1226.0,Header_Length > 23.8,Variance > 623806.34,1331163826998701005988327749618535286588076394133,398927191248703264102191878649203257886026496233
398927191248703264102191878649203257886026496233-1368085777749806954510424449031662725325551931919,1226.0,Variance > 623806.34,ARP <= 0.05,398927191248703264102191878649203257886026496233,1368085777749806954510424449031662725325551931919
1368085777749806954510424449031662725325551931919-890157151933730487206560358436928763492526365967,1226.0,ARP <= 0.05,Min <= 970.5,1368085777749806954510424449031662725325551931919,890157151933730487206560358436928763492526365967
890157151933730487206560358436928763492526365967-1254652323580417465321813615400850719079092153960,1226.0,Min <= 970.5,IPv > 0.85,890157151933730487206560358436928763492526365967,1254652323580417465321813615400850719079092153960
1254652323580417465321813615400850719079092153960-622666970840200344191566336878595586235437997465,1226.0,IPv > 0.85,HTTPS > 0.15,1254652323580417465321813615400850719079092153960,622666970840200344191566336878595586235437997465
1254652323580417465321813615400850719079092153960-119344160183475244949093914849963595993797471657,3378.0,IPv > 0.85,HTTPS > 0.25,1254652323580417465321813615400850719079092153960,119344160183475244949093914849963595993797471657
297159962591209266883682523885187846035591003400-876906660692558949267778359831024521684096312962,1226.0,Min <= 154.0,Variance <= 3350968.12,297159962591209266883682523885187846035591003400,876906660692558949267778359831024521684096312962
876906660692558949267778359831024521684096312962-511591514204494996345684360765622442170002798897,1226.0,Variance <= 3350968.12,Max > 2958.0,876906660692558949267778359831024521684096312962,511591514204494996345684360765622442170002798897
511591514204494996345684360765622442170002798897-1277578065395582997390985360652132583624767470358,1226.0,Max > 2958.0,Std <= 1833.38,511591514204494996345684360765622442170002798897,1277578065395582997390985360652132583624767470358
511591514204494996345684360765622442170002798897-797610753350974897814736785778043014385684562947,1651.0,Max > 2958.0,Time_To_Live > 61.95,511591514204494996345684360765622442170002798897,797610753350974897814736785778043014385684562947
1277578065395582997390985360652132583624767470358-444903398511190255204347034984188376704789605296,1226.0,Std <= 1833.38,syn_count <= 0.5,1277578065395582997390985360652132583624767470358,444903398511190255204347034984188376704789605296
400381712981511484664070085984055454620756473568-332764691206988582057718629617666658783570619567,1226.0,psh_flag_number <= 0.2,Variance > 571308.56,400381712981511484664070085984055454620756473568,332764691206988582057718629617666658783570619567
332764691206988582057718629617666658783570619567-392411771682679707527492238297144199619242557498,1226.0,Variance > 571308.56,rst_flag_number <= 0.1,332764691206988582057718629617666658783570619567,392411771682679707527492238297144199619242557498
124181416782325075940557531987760243047869062506-313966293707852304271238602452879935845810138389,1226.0,ack_count <= 15.0,Class Benign,124181416782325075940557531987760243047869062506,313966293707852304271238602452879935845810138389
1394414938751630133600879251490207247212425569527-1270562219278966630109242817886207307040672253255,1244.0,ack_count > 1.5,Min <= 59.0,1394414938751630133600879251490207247212425569527,1270562219278966630109242817886207307040672253255
1394414938751630133600879251490207247212425569527-622666970840200344191566336878595586235437997465,1835.0,ack_count > 1.5,HTTPS > 0.15,1394414938751630133600879251490207247212425569527,622666970840200344191566336878595586235437997465
1394414938751630133600879251490207247212425569527-1421919128814804351690947703424341912816295245856,3024.0,ack_count > 1.5,Tot sum <= 35426.0,1394414938751630133600879251490207247212425569527,1421919128814804351690947703424341912816295245856
1394414938751630133600879251490207247212425569527-722324590764736192333694774638005755189324671827,3555.0,ack_count > 1.5,Tot sum > 35426.0,1394414938751630133600879251490207247212425569527,722324590764736192333694774638005755189324671827
1394414938751630133600879251490207247212425569527-503370148974855972752773457293497706085178597391,6221.0,ack_count > 1.5,Number > 13.0,1394414938751630133600879251490207247212425569527,503370148974855972752773457293497706085178597391
1394414938751630133600879251490207247212425569527-1065678358868830613118634470078609803156730625463,8044.0,ack_count > 1.5,Min > 59.0,1394414938751630133600879251490207247212425569527,1065678358868830613118634470078609803156730625463
832818805207219958385965786826879211534392508830-1045874808088107332530545743065116310327379466881,1244.0,syn_count <= 4.5,Number <= 55.0,832818805207219958385965786826879211534392508830,1045874808088107332530545743065116310327379466881
1045874808088107332530545743065116310327379466881-328841072803826724837110389485312510194016552872,1244.0,Number <= 55.0,Class Spoofing,1045874808088107332530545743065116310327379466881,328841072803826724837110389485312510194016552872
1045874808088107332530545743065116310327379466881-1245026685790655421385463149120880012921441103318,1365.0,Number <= 55.0,TCP > 0.5,1045874808088107332530545743065116310327379466881,1245026685790655421385463149120880012921441103318
1045874808088107332530545743065116310327379466881-671328880370758937403800270241477012788812950970,1789.0,Number <= 55.0,ece_flag_number <= 0.05,1045874808088107332530545743065116310327379466881,671328880370758937403800270241477012788812950970
956613943525031571374420419991157733051395288889-71289489250157073843808280449977051905804961170,1255.0,Rate <= 1355.55,psh_flag_number <= 0.25,956613943525031571374420419991157733051395288889,71289489250157073843808280449977051905804961170
71289489250157073843808280449977051905804961170-834170176002351162089815128544616488077312328407,1255.0,psh_flag_number <= 0.25,Header_Length <= 33.0,71289489250157073843808280449977051905804961170,834170176002351162089815128544616488077312328407
71289489250157073843808280449977051905804961170-674196853837619115087533412010134527129516958514,1292.0,psh_flag_number <= 0.25,IAT > 0.0,71289489250157073843808280449977051905804961170,674196853837619115087533412010134527129516958514
71289489250157073843808280449977051905804961170-1283881692392161277493995882646230642943665593038,1447.0,psh_flag_number <= 0.25,Min <= 72.0,71289489250157073843808280449977051905804961170,1283881692392161277493995882646230642943665593038
71289489250157073843808280449977051905804961170-649426050610508850936826706344673526547318907744,1698.0,psh_flag_number <= 0.25,Time_To_Live <= 216.1,71289489250157073843808280449977051905804961170,649426050610508850936826706344673526547318907744
71289489250157073843808280449977051905804961170-1240109455169276991964195549603100205343920124650,1730.0,psh_flag_number <= 0.25,rst_flag_number <= 0.05,71289489250157073843808280449977051905804961170,1240109455169276991964195549603100205343920124650
834170176002351162089815128544616488077312328407-988533864090924689998327117632004085676706683697,1255.0,Header_Length <= 33.0,Rate > 121.29,834170176002351162089815128544616488077312328407,988533864090924689998327117632004085676706683697
834170176002351162089815128544616488077312328407-371591821625166726613853158278384607871803201524,2295.0,Header_Length <= 33.0,fin_count <= 0.5,834170176002351162089815128544616488077312328407,371591821625166726613853158278384607871803201524
834170176002351162089815128544616488077312328407-796663833304951335607215153502823208410961469538,3378.0,Header_Length <= 33.0,syn_flag_number <= 0.15,834170176002351162089815128544616488077312328407,796663833304951335607215153502823208410961469538
988533864090924689998327117632004085676706683697-831747041846740180737004389888464620526491013295,1255.0,Rate > 121.29,IRC <= 0.05,988533864090924689998327117632004085676706683697,831747041846740180737004389888464620526491013295
831747041846740180737004389888464620526491013295-1197103207803047308000839155547999628248001264277,1255.0,IRC <= 0.05,syn_count <= 1.5,831747041846740180737004389888464620526491013295,1197103207803047308000839155547999628248001264277
1197103207803047308000839155547999628248001264277-674196853837619115087533412010134527129516958514,1255.0,syn_count <= 1.5,IAT > 0.0,1197103207803047308000839155547999628248001264277,674196853837619115087533412010134527129516958514
1197103207803047308000839155547999628248001264277-834170176002351162089815128544616488077312328407,2295.0,syn_count <= 1.5,Header_Length <= 33.0,1197103207803047308000839155547999628248001264277,834170176002351162089815128544616488077312328407
436321289875897528465499028965310311445215755872-371591821625166726613853158278384607871803201524,1255.0,Tot sum > 631.0,fin_count <= 0.5,436321289875897528465499028965310311445215755872,371591821625166726613853158278384607871803201524
371591821625166726613853158278384607871803201524-1323862965427776696036947695291374953401284971461,1255.0,fin_count <= 0.5,Tot size <= 204.45,371591821625166726613853158278384607871803201524,1323862965427776696036947695291374953401284971461
371591821625166726613853158278384607871803201524-1065678358868830613118634470078609803156730625463,2295.0,fin_count <= 0.5,Min > 59.0,371591821625166726613853158278384607871803201524,1065678358868830613118634470078609803156730625463
371591821625166726613853158278384607871803201524-818077061849896056661990455555440447663154144039,2691.0,fin_count <= 0.5,Protocol Type <= 11.5,371591821625166726613853158278384607871803201524,818077061849896056661990455555440447663154144039
371591821625166726613853158278384607871803201524-1240109455169276991964195549603100205343920124650,2896.0,fin_count <= 0.5,rst_flag_number <= 0.05,371591821625166726613853158278384607871803201524,1240109455169276991964195549603100205343920124650
371591821625166726613853158278384607871803201524-54740740771356227275522432144612129784905455487,3566.0,fin_count <= 0.5,ack_flag_number > 0.39,371591821625166726613853158278384607871803201524,54740740771356227275522432144612129784905455487
371591821625166726613853158278384607871803201524-703354571316526670705826685636552632944029910339,13606.0,fin_count <= 0.5,Class DoS/DDoS,371591821625166726613853158278384607871803201524,703354571316526670705826685636552632944029910339
1323862965427776696036947695291374953401284971461-1065678358868830613118634470078609803156730625463,1255.0,Tot size <= 204.45,Min > 59.0,1323862965427776696036947695291374953401284971461,1065678358868830613118634470078609803156730625463
1211779019603258000957243660708019163554054981716-1202400470003894971655325614399469881292256509272,1255.0,IAT <= 0.01,HTTPS > 0.4,1211779019603258000957243660708019163554054981716,1202400470003894971655325614399469881292256509272
1211779019603258000957243660708019163554054981716-106677032266674133856302899606386379125545998459,1542.0,IAT <= 0.01,psh_flag_number <= 0.33,1211779019603258000957243660708019163554054981716,106677032266674133856302899606386379125545998459
1211779019603258000957243660708019163554054981716-905408325027538164089697993925715892446347564046,1698.0,IAT <= 0.01,Rate <= 15745.77,1211779019603258000957243660708019163554054981716,905408325027538164089697993925715892446347564046
1211779019603258000957243660708019163554054981716-525033459985603071059454004586368716056114286579,3676.0,IAT <= 0.01,Min > 57.0,1211779019603258000957243660708019163554054981716,525033459985603071059454004586368716056114286579
1211779019603258000957243660708019163554054981716-578090820621180084042190616769804575845934420364,5426.0,IAT <= 0.01,HTTP <= 0.05,1211779019603258000957243660708019163554054981716,578090820621180084042190616769804575845934420364
1211779019603258000957243660708019163554054981716-1404068155286408143823987806082408094255316813901,10052.0,IAT <= 0.01,HTTPS <= 0.11,1211779019603258000957243660708019163554054981716,1404068155286408143823987806082408094255316813901
1202400470003894971655325614399469881292256509272-324257255996341444250924282238468811742361554261,1255.0,HTTPS > 0.4,Std <= 573.92,1202400470003894971655325614399469881292256509272,324257255996341444250924282238468811742361554261
324257255996341444250924282238468811742361554261-34074896765766719437366549824949234562672804536,1255.0,Std <= 573.92,Max <= 301.5,324257255996341444250924282238468811742361554261,34074896765766719437366549824949234562672804536
34074896765766719437366549824949234562672804536-313966293707852304271238602452879935845810138389,1255.0,Max <= 301.5,Class Benign,34074896765766719437366549824949234562672804536,313966293707852304271238602452879935845810138389
1018553467616496908475176424391053228891111154905-578090820621180084042190616769804575845934420364,1257.0,TCP > 0.1,HTTP <= 0.05,1018553467616496908475176424391053228891111154905,578090820621180084042190616769804575845934420364
1018553467616496908475176424391053228891111154905-138077334004252778430181930540733405593193044581,1292.0,TCP > 0.1,ack_count > 8.5,1018553467616496908475176424391053228891111154905,138077334004252778430181930540733405593193044581
1018553467616496908475176424391053228891111154905-1125172360728859089301234411074419920961484457594,1517.0,TCP > 0.1,Time_To_Live > 63.35,1018553467616496908475176424391053228891111154905,1125172360728859089301234411074419920961484457594
1018553467616496908475176424391053228891111154905-852550629365964024920766762540278066576525600948,1639.0,TCP > 0.1,Tot size <= 198.05,1018553467616496908475176424391053228891111154905,852550629365964024920766762540278066576525600948
1018553467616496908475176424391053228891111154905-506523410093399856950676228462350948269604701352,3196.0,TCP > 0.1,Rate <= 240.87,1018553467616496908475176424391053228891111154905,506523410093399856950676228462350948269604701352
1018553467616496908475176424391053228891111154905-522296290625812105210965960736507767100196631621,12964.0,TCP > 0.1,ack_count > 0.5,1018553467616496908475176424391053228891111154905,522296290625812105210965960736507767100196631621
1018553467616496908475176424391053228891111154905-1324371470327791779098880434634111243200462776602,16425.0,TCP > 0.1,ack_count <= 0.5,1018553467616496908475176424391053228891111154905,1324371470327791779098880434634111243200462776602
578090820621180084042190616769804575845934420364-1367466275793494495487688982288844671879356068319,1257.0,HTTP <= 0.05,Header_Length > 11.8,578090820621180084042190616769804575845934420364,1367466275793494495487688982288844671879356068319
578090820621180084042190616769804575845934420364-631465366138246779477533698662401654966400487210,1326.0,HTTP <= 0.05,Header_Length > 21.4,578090820621180084042190616769804575845934420364,631465366138246779477533698662401654966400487210
578090820621180084042190616769804575845934420364-160617870897841111451605648390929784691552556427,1365.0,HTTP <= 0.05,Variance > 680547.12,578090820621180084042190616769804575845934420364,160617870897841111451605648390929784691552556427
578090820621180084042190616769804575845934420364-760255495060850404408588223994525456047654918389,1447.0,HTTP <= 0.05,Tot size > 62.65,578090820621180084042190616769804575845934420364,760255495060850404408588223994525456047654918389
578090820621180084042190616769804575845934420364-313966293707852304271238602452879935845810138389,3352.0,HTTP <= 0.05,Class Benign,578090820621180084042190616769804575845934420364,313966293707852304271238602452879935845810138389
578090820621180084042190616769804575845934420364-228369524332212249435307099043468580179851430248,5426.0,HTTP <= 0.05,Number <= 10.5,578090820621180084042190616769804575845934420364,228369524332212249435307099043468580179851430248
392309697882436665536451611615504397657469986205-1237973980580025940325858167616113640843235459595,1257.0,Tot sum > 591.5,ack_flag_number <= 0.55,392309697882436665536451611615504397657469986205,1237973980580025940325858167616113640843235459595
1237973980580025940325858167616113640843235459595-581472790269322698779126534108153174844124457892,1257.0,ack_flag_number <= 0.55,Tot size <= 546.4,1237973980580025940325858167616113640843235459595,581472790269322698779126534108153174844124457892
581472790269322698779126534108153174844124457892-622378290932172203859505445258077236365739138030,1257.0,Tot size <= 546.4,Rate > 38.11,581472790269322698779126534108153174844124457892,622378290932172203859505445258077236365739138030
581472790269322698779126534108153174844124457892-667636065960217070606624729671006003304038343669,1639.0,Tot size <= 546.4,Time_To_Live <= 193.0,581472790269322698779126534108153174844124457892,667636065960217070606624729671006003304038343669
622378290932172203859505445258077236365739138030-444903398511190255204347034984188376704789605296,1257.0,Rate > 38.11,syn_count <= 0.5,622378290932172203859505445258077236365739138030,444903398511190255204347034984188376704789605296
1238815493313229803767284947742880983558777714529-1417934636759409488646659014188540628782694085883,1265.0,ack_flag_number <= 0.95,ack_flag_number > 0.55,1238815493313229803767284947742880983558777714529,1417934636759409488646659014188540628782694085883
1417934636759409488646659014188540628782694085883-581472790269322698779126534108153174844124457892,1639.0,ack_flag_number > 0.55,Tot size <= 546.4,1417934636759409488646659014188540628782694085883,581472790269322698779126534108153174844124457892
1417934636759409488646659014188540628782694085883-1342412290037990275801029368844730198597963714935,3082.0,ack_flag_number > 0.55,ICMP <= 0.05,1417934636759409488646659014188540628782694085883,1342412290037990275801029368844730198597963714935
479558918440328824313980257606716486705651346406-1437081467055428746021978433282703033443826359871,1265.0,Variance > 198750.05,fin_count <= 1.5,479558918440328824313980257606716486705651346406,1437081467055428746021978433282703033443826359871
43740599017155961745267266686215514673098991247-480622243251905441489889965862991046125458939243,1269.0,Tot sum <= 5999.0,AVG > 62.65,43740599017155961745267266686215514673098991247,480622243251905441489889965862991046125458939243
43740599017155961745267266686215514673098991247-1065678358868830613118634470078609803156730625463,1283.0,Tot sum <= 5999.0,Min > 59.0,43740599017155961745267266686215514673098991247,1065678358868830613118634470078609803156730625463
43740599017155961745267266686215514673098991247-199737191447430138803116354132034043655074465787,1447.0,Tot sum <= 5999.0,Rate <= 9671.28,43740599017155961745267266686215514673098991247,199737191447430138803116354132034043655074465787
43740599017155961745267266686215514673098991247-1270562219278966630109242817886207307040672253255,1562.0,Tot sum <= 5999.0,Min <= 59.0,43740599017155961745267266686215514673098991247,1270562219278966630109242817886207307040672253255
480622243251905441489889965862991046125458939243-450732185867019503557253938593748687470332854114,1269.0,AVG > 62.65,fin_flag_number <= 0.05,480622243251905441489889965862991046125458939243,450732185867019503557253938593748687470332854114
984053500588784488228367892743500793516364787233-1270562219278966630109242817886207307040672253255,1269.0,Time_To_Live <= 161.55,Min <= 59.0,984053500588784488228367892743500793516364787233,1270562219278966630109242817886207307040672253255
76523785222702968606005854402947631102372927327-1304103064613305154034866345562235325963084635879,1283.0,syn_count > 1.5,HTTPS <= 0.26,76523785222702968606005854402947631102372927327,1304103064613305154034866345562235325963084635879
1304103064613305154034866345562235325963084635879-261809960037971438420289186308236045771928427897,1283.0,HTTPS <= 0.26,Std <= 55.65,1304103064613305154034866345562235325963084635879,261809960037971438420289186308236045771928427897
261809960037971438420289186308236045771928427897-982861737465550443797822186330435540154942808116,1283.0,Std <= 55.65,AVG <= 88.1,261809960037971438420289186308236045771928427897,982861737465550443797822186330435540154942808116
982861737465550443797822186330435540154942808116-940512226975629965296538738181838624545539129217,1283.0,AVG <= 88.1,cwr_flag_number <= 0.05,982861737465550443797822186330435540154942808116,940512226975629965296538738181838624545539129217
940512226975629965296538738181838624545539129217-780656447339424975669998279099129813803912414836,1283.0,cwr_flag_number <= 0.05,Header_Length <= 37.6,940512226975629965296538738181838624545539129217,780656447339424975669998279099129813803912414836
780656447339424975669998279099129813803912414836-444843896754161623394905911924461747604963139459,1283.0,Header_Length <= 37.6,Tot sum <= 889.5,780656447339424975669998279099129813803912414836,444843896754161623394905911924461747604963139459
444843896754161623394905911924461747604963139459-129667429336600849652190762844194431447029181889,1283.0,Tot sum <= 889.5,Rate > 62.35,444843896754161623394905911924461747604963139459,129667429336600849652190762844194431447029181889
129667429336600849652190762844194431447029181889-383116836596496468262090029448909352167655453320,1283.0,Rate > 62.35,Class Reconnaissance,129667429336600849652190762844194431447029181889,383116836596496468262090029448909352167655453320
138077334004252778430181930540733405593193044581-215322154371937964049723679897287616709960052998,1292.0,ack_count > 8.5,Tot sum > 653.0,138077334004252778430181930540733405593193044581,215322154371937964049723679897287616709960052998
138077334004252778430181930540733405593193044581-961790671073174262019667008806020090392547209682,1789.0,ack_count > 8.5,ack_flag_number > 0.85,138077334004252778430181930540733405593193044581,961790671073174262019667008806020090392547209682
215322154371937964049723679897287616709960052998-1387081056399495679439882211514993657010116846517,1292.0,Tot sum > 653.0,Tot sum <= 8403.0,215322154371937964049723679897287616709960052998,1387081056399495679439882211514993657010116846517
1387081056399495679439882211514993657010116846517-405354473725904549589388532478448600812513409143,1292.0,Tot sum <= 8403.0,Rate > 136.08,1387081056399495679439882211514993657010116846517,405354473725904549589388532478448600812513409143
405354473725904549589388532478448600812513409143-71289489250157073843808280449977051905804961170,1292.0,Rate > 136.08,psh_flag_number <= 0.25,405354473725904549589388532478448600812513409143,71289489250157073843808280449977051905804961170
939995650699590723201922265298166474358622686971-387587405642621519745509255499974046560031130251,1292.0,AVG <= 201.35,syn_flag_number <= 0.05,939995650699590723201922265298166474358622686971,387587405642621519745509255499974046560031130251
